MSigDB_Set_Name	GO_Term_ID	GO_Term_Original_Name
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	GO:0000002	mitochondrial genome maintenance
GOBP_REPRODUCTION	GO:0000003	reproduction
GOBP_SINGLE_STRAND_BREAK_REPAIR	GO:0000012	single strand break repair
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GOBP_REGULATION_OF_DNA_RECOMBINATION	GO:0000018	regulation of DNA recombination
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	GO:0000019	regulation of mitotic recombination
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	GO:0000027	ribosomal large subunit assembly
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	GO:0000028	ribosomal small subunit assembly
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	GO:0000030	mannosyltransferase activity
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GO:0000038	very long-chain fatty acid metabolic process
GOBP_TRANSITION_METAL_ION_TRANSPORT	GO:0000041	transition metal ion transport
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY	GO:0000048	peptidyltransferase activity
GOMF_TRNA_BINDING	GO:0000049	tRNA binding
GOBP_UREA_CYCLE	GO:0000050	urea cycle
GOBP_CITRULLINE_METABOLIC_PROCESS	GO:0000052	citrulline metabolic process
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	GO:0000055	ribosomal large subunit export from nucleus
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	GO:0000056	ribosomal small subunit export from nucleus
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0000064	L-ornithine transmembrane transporter activity
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO:0000070	mitotic sister chromatid segregation
GOBP_CELL_CYCLE_CHECKPOINT	GO:0000075	cell cycle checkpoint
GOBP_DNA_REPLICATION_CHECKPOINT	GO:0000076	DNA replication checkpoint
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GO:0000096	sulfur amino acid metabolic process
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO:0000097	sulfur amino acid biosynthetic process
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	GO:0000098	sulfur amino acid catabolic process
GOMF_SULFUR_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0000099	sulfur amino acid transmembrane transporter activity
GOBP_SULFUR_AMINO_ACID_TRANSPORT	GO:0000101	sulfur amino acid transport
