phecode	beta	SE	chisq	OR	p	n.cases	n.var.cases	n.controls	n.var.controls	case.ctrl_ratio	firth_correct
645	0.549832278904871	0.44711077728003	1.51227296359827	1.73296233915026	0.218792579647061	1269	5	377908	863	0.00335796013844639	FALSE
433.21	0.358492735479343	0.305418644684379	1.37774748786716	1.43117063532174	0.240485204981026	3413	11	362169	823	0.00942377729733909	FALSE
738	0.726562336466613	0.502158744579654	2.09345535002919	2.06795942586669	0.147931153581145	825	4	365636	837	0.00225634237328928	FALSE
809	1.29281298551017	0.976668927018947	1.75217173332442	3.64301991809772	0.185603948021382	101	1	375299	862	0.000269118755978566	FALSE
740	0.128751891926128	0.115107193266444	1.25112963206205	1.13740788907421	0.263336833322258	33437	87	345740	781	0.0967114016312836	FALSE
080	0.378567114773348	0.23257520983005	2.64946951814598	1.46019080388429	0.103584458012501	5751	19	371890	841	0.0154642501815053	FALSE
038.1	-1.56885492138623	0.982793209184255	2.54824555232769	0.208283546893055	0.110416807176592	2112	1	354429	806	0.00595888033992704	FALSE
369	0.315304659894441	0.578883919454033	0.29667285235345	1.37067683761261	0.585975801104808	1004	3	366260	830	0.00274122208267351	FALSE
781	-0.248998555026689	0.410262679721956	0.368357595065649	0.77958109985777	0.543900883388226	3380	6	375791	862	0.00899436122738437	FALSE
189.21	-0.376557221065289	0.449994099269342	0.700242268933103	0.686219850332461	0.402702300352026	3023	5	373179	855	0.00810067018776512	FALSE
691	0.930951062024638	0.979036882273046	0.904181460045106	2.53692079966708	0.341662976882609	160	1	369135	838	0.000433445758326899	FALSE
170.1	0.869842127108513	0.975814765162167	0.794595504613273	2.38653405475005	0.372714153096095	177	1	378568	864	0.000467551404239133	FALSE
722.7	0.362300217536197	0.706214047880019	0.263187031186455	1.43663017879739	0.607939027599005	607	2	365367	833	0.00166134325212731	FALSE
110	-0.18964025477317	0.976664181829317	0.0377025338732191	0.827256682062131	0.846041673547978	527	1	373911	850	0.00140942630732982	FALSE
443.9	0.362175152468515	0.272013302890546	1.77278886627146	1.43645051778173	0.183037311146564	4255	14	365721	841	0.0116345520218965	FALSE
384	0.679544778792574	0.410735435161042	2.73723330556245	1.97297938571458	0.0980343655707338	1380	6	374786	853	0.00368210125244806	FALSE
621	-0.280545762118228	0.709549034782667	0.156330097300648	0.755371375857063	0.692558031780814	1181	2	191559	429	0.00616520236585073	FALSE
395	0.093135562942872	0.217744397305383	0.182951978117127	1.09761052049526	0.668848535377249	8651	22	365506	835	0.0236685581084852	FALSE
722	-0.0253999876880682	0.216412331444613	0.0137753615001658	0.974919878081059	0.906568055987671	9913	22	365367	833	0.0271316238193378	FALSE
612.2	0.494723296573987	0.578107932128257	0.732330070149103	1.64004437037033	0.392128963160845	848	3	371862	853	0.00228041585319285	FALSE
250.21	0.497192151805145	0.980659231421253	0.257046850812684	1.64409840484637	0.612156305738381	295	1	347296	796	0.00084941951534138	FALSE
613.5	1.40414545379974	0.970376700106267	2.09383992331219	4.07204550302802	0.147893930906705	98	1	377258	864	0.00025976917653171	FALSE
593	-0.0684899971319635	0.163323257283832	0.175856421079849	0.933802800762994	0.674958618685008	18468	40	341665	780	0.0540529465997395	FALSE
428.2	0.136100601817076	0.213972041592785	0.404581509330164	1.14579715707291	0.524732609429917	8888	23	366786	834	0.0242321135484997	FALSE
531	-0.0714395356190766	0.221814338462601	0.103728479803944	0.931052571410297	0.747400376534923	9927	21	369250	847	0.0268842247799594	FALSE
286.1	0.826540339665862	0.57847498864039	2.04154490187133	2.28539834522333	0.153054133614826	560	3	374616	855	0.00149486407414526	FALSE
172.1	0.0857955303728997	0.318893020067211	0.07238345344165	1.08958351879123	0.78789756887461	3860	10	358719	813	0.0107605117097227	FALSE
353	-0.438002662220884	0.578893027247492	0.572475444951673	0.645324064859805	0.449276913904031	2000	3	360809	823	0.00554309898034694	FALSE
709.2	-0.634652205030355	0.967974689811107	0.429876380160084	0.530119829269212	0.512049612842863	873	1	365610	825	0.0023877902683187	FALSE
271.3	0.391768654906626	0.972852137010532	0.1621682001112	1.47959537467475	0.687168102529067	297	1	378840	867	0.00078397212543554	FALSE
740.11	0.179519171436408	0.194162943133169	0.854848152346261	1.19664184519061	0.355184427122789	9980	28	345740	781	0.0288656215653381	FALSE
426.23	-0.792195693646742	0.977627369793838	0.656626266151062	0.452849384357381	0.417753530904867	1004	1	338411	763	0.00296680663453611	FALSE
430.2	-0.419698536714764	0.706420064433143	0.352978991607436	0.657244925167157	0.552431620127692	1352	2	362169	823	0.0037330638458841	FALSE
444	-0.422051928645369	0.705678229871443	0.357699504900588	0.655699988897159	0.549786655751112	1327	2	365721	841	0.00362844900894398	FALSE
714.1	-0.258664178464082	0.356586298538776	0.526190828539863	0.772082261363228	0.468212731564241	4607	8	329543	753	0.0139799661956103	FALSE
722.9	0.118260175675798	0.260979701954738	0.205335281522524	1.12553691060242	0.650448393086608	5835	15	365367	833	0.0159702436180607	FALSE
339	0.158568013751263	0.192633420770848	0.67759142079457	1.17183162217936	0.410417345514078	10851	28	364250	832	0.0297899794097461	FALSE
524	0.856416780339643	0.702225831760517	1.48736217877755	2.35470812260088	0.222626184135936	377	2	366238	831	0.0010293852631349	FALSE
275.53	-0.789873543630623	0.978523383527233	0.651587461449038	0.453902190476345	0.419545691851345	963	1	373729	858	0.00257673340843231	FALSE
780	-0.0367656212359798	0.974086810583648	0.00142458540823524	0.963902027041646	0.969892048888704	466	1	378711	867	0.00123048974019767	FALSE
250.13	-0.349458382151765	0.983369830232301	0.126286568880786	0.705069864744295	0.722313756952286	642	1	347296	796	0.00184856721643785	FALSE
535	-0.140094139056798	0.118940724429869	1.38732679579243	0.869276398686582	0.238857059016018	39927	79	336859	781	0.118527336363286	FALSE
614.32	0.049547347366995	0.996985023156853	0.00246981002035846	1.05079534342978	0.960363701149699	435	1	195305	444	0.00222728552776427	FALSE
379.2	-1.14448313175475	0.706990653250016	2.62054394937064	0.318388440142931	0.105488273957825	2660	2	365185	840	0.00728397935293071	FALSE
523.3	-0.0671179473831931	0.579031198603717	0.01343610545388	0.935084904014772	0.907720528964458	1484	3	366238	831	0.00405200989520476	FALSE
385	0.649589166421104	0.502187905216541	1.67318918538588	1.914754022154	0.195831913344857	926	4	374786	853	0.00247074330417892	FALSE
745	0.410188125613685	0.410716729629774	0.99742760002776	1.50710128279914	0.31793375496859	1798	6	377379	862	0.00476444105262879	FALSE
580.2	-0.620752907785391	0.980690720359199	0.400657607594575	0.53753956747356	0.5267498362477	892	1	354250	806	0.00251799576570219	FALSE
569	0.0671210192534314	0.245842839282493	0.0745421576635225	1.06942489134565	0.784834692125827	6844	17	347971	799	0.019668305692141	FALSE
287.32	0.930813770086287	0.974543193624686	0.912270042573371	2.53657252480126	0.339512826235344	160	1	374616	855	0.000427104021184359	FALSE
378.2	0.0816350779569722	0.977840966001666	0.00696974947853142	1.08505977534306	0.933465883763941	395	1	365185	840	0.00108164355052918	FALSE
614.4	0.403583031523026	0.996745815412679	0.163944538789602	1.4971795401156	0.685550538378189	314	1	195305	444	0.00160774173728271	FALSE
191.1	-0.679179891495813	0.979410003054542	0.48088426624809	0.507032643685689	0.48802205315661	832	1	376563	862	0.00220945764719317	FALSE
218.2	0.157679502987512	0.999470680593593	0.0248891673275174	1.17079089958483	0.874643547303442	391	1	186366	426	0.00209802217142612	FALSE
229	-1.06380601554478	0.707077562130195	2.26355354260804	0.345139700286742	0.132449826640616	2498	2	376679	866	0.00663164126484354	FALSE
379.1	1.75236831294992	0.983640180463463	3.17379054017069	5.76824752730626	0.0748285927797336	57	1	365185	840	0.000156085271848515	FALSE
274.1	0.224896610137498	0.27230775244934	0.682096478643858	1.25219324541153	0.408865742768526	4927	14	373865	854	0.0131785537560349	FALSE
241.2	-0.682511551340268	0.977351409426893	0.487661561587472	0.505346194284727	0.484972286689783	955	1	354114	794	0.00269687162891046	FALSE
352.1	0.134933130265653	0.706224185945175	0.0365049718308743	1.14446025203947	0.84847643651298	759	2	360809	823	0.00210360606304166	FALSE
395.6	-1.10178018520258	0.706878457441501	2.42940780416238	0.332279038651779	0.119077875950128	2551	2	365506	835	0.00697936559180971	FALSE
416	0.0753700493501993	0.262217113642612	0.0826181629667229	1.07828309502421	0.773780219101261	6239	15	366833	829	0.0170077392164827	FALSE
701.5	0.860446364793767	0.578981365176497	2.20860695955111	2.36421576089639	0.137242551260979	566	3	373012	846	0.00151737745702551	FALSE
610	0.157942170569894	0.381630107243839	0.171281692418144	1.17109846879236	0.678975230179589	2724	7	197636	447	0.0137829140440001	FALSE
411.9	-0.0914674579019938	0.450143472936234	0.0412887090077189	0.912591013294999	0.838981657238781	2516	5	336002	759	0.00748805066636508	FALSE
857	0.255462094030151	0.380605862070654	0.45050746279074	1.29105807328197	0.502094066853482	2392	7	354810	805	0.00674163636876075	FALSE
291	0.170298391615752	0.579101129993921	0.0864793203579683	1.18565858912368	0.768701614009858	1159	3	362734	830	0.00319517883628223	FALSE
386.1	0.3790276830419	0.578142360553402	0.42980580685004	1.4608634763285	0.512084251239418	873	3	368619	845	0.00236829897536481	FALSE
635.2	-0.74898772788194	0.984788613782121	0.578446724967165	0.472844958329326	0.446921799983775	921	1	196783	449	0.00468028234146242	FALSE
427	0.125337571674166	0.116094089111316	1.16558066842611	1.13353103645823	0.28031115839047	33559	86	338411	763	0.0991663982553759	FALSE
395.3	0.210313805527938	0.967042553678903	0.0472981760304701	1.23406525570056	0.827833170880019	351	1	365506	835	0.000960312553008706	FALSE
255	0.14911695799193	0.579054175597526	0.0663155957491952	1.16080874713002	0.796778808713922	1168	3	372564	847	0.0031350318334568	FALSE
509	0.344796919013629	0.292245109574669	1.39197760488004	1.41170320047662	0.23807141326146	3691	12	356938	817	0.010340731443556	FALSE
510.2	1.73258979289725	0.979810827293111	3.12684990346463	5.65528096620603	0.0770124168914782	60	1	376898	856	0.000159194264761288	FALSE
550.4	-0.371178115509865	0.356604916833227	1.08340309325558	0.689921044975528	0.297937506336839	5146	8	318485	715	0.0161577468326609	FALSE
459.1	1.15034599080716	0.978091736153661	1.38324079006697	3.15928580445862	0.239549893362376	130	1	341825	781	0.00038031156293425	FALSE
598.9	-0.271391528393975	0.971744890257435	0.0779988217666018	0.762317968837832	0.780027888225347	544	1	378633	867	0.00143674745730034	FALSE
575.8	-0.734733432595913	0.707153054569413	1.07952514011287	0.479633296538245	0.298803809669749	1820	2	356241	814	0.00510890099679711	FALSE
801	0.187605387103639	0.976616342855725	0.0369013823074711	1.20635737723199	0.847665970160812	359	1	375299	862	0.000956570627686192	FALSE
512.7	-0.120749297280367	0.221653213337355	0.296770795308516	0.886256118562998	0.585913960147987	10490	21	363489	832	0.0288591951888503	FALSE
652	-0.0308452369948198	0.499693183425125	0.00381038950891311	0.969625623640003	0.950779160945387	1790	4	377387	864	0.00474314165564792	FALSE
528.5	0.406369203876023	0.578990148707579	0.492605466974532	1.50135675687845	0.482767361701879	860	3	371764	857	0.00231329553157379	FALSE
250.7	0.0469131248429193	0.410979230018527	0.0130301368062685	1.0480309572706	0.909119184500588	2702	6	356093	829	0.00758790540673363	FALSE
871.4	1.19839273668911	0.977175418883296	1.50401881430316	3.31478490674345	0.220054035665374	121	1	367284	840	0.00032944533385609	FALSE
414	0.0106195381886884	0.293404599842265	0.00131001849049731	1.01067612561775	0.97112752856961	5259	12	336002	759	0.0156516925494491	FALSE
1001	-1.11848569551183	0.981122536594907	1.29961395206585	0.326774255868388	0.25428375173431	1354	1	377823	867	0.00358368865844589	FALSE
411.2	0.0417952095330578	0.164102486681305	0.0648668322076199	1.04268092577104	0.798962788975948	17419	41	336002	759	0.0518419533217064	FALSE
427.2	0.0682229189759436	0.166239056633948	0.168420310176076	1.07060393981396	0.681519560751585	16232	40	338411	763	0.0479653439161257	FALSE
454.1	0.11318199808571	0.183891907939462	0.378817013281541	1.11983572236116	0.538237031721262	12236	31	337204	759	0.0362866395416424	FALSE
401.2	0.415382467438597	0.413352486519573	1.00984615126496	1.51495004896654	0.314939699224667	1915	6	271534	597	0.00705252380917307	FALSE
228	-0.182596236932496	0.50174835922335	0.132437728747935	0.833104464652162	0.715917788013388	2072	4	377105	864	0.00549449092427838	FALSE
289.4	-0.27820708479994	0.380080470371915	0.535778474381604	0.757140013090438	0.46418754865191	4131	7	366991	837	0.0112564068328651	FALSE
134.1	1.86816754765789	0.829305158414253	5.07461283559861	6.47641779216816	0.0242786935119095	160	2	378066	863	0.000423206530076759	TRUE
624.2	1.20692504003113	0.568494465446123	4.50721332288412	3.34318865948217	0.0337521877411725	603	4	195471	440	0.00308485657719048	TRUE
401.1	0.165066871752826	0.078288970992734	4.44548011582811	1.17947198943359	0.0349937492245336	107480	270	271534	597	0.395825200527374	TRUE
242	0.246902260953722	0.356571340057187	0.479465394590507	1.28005399540725	0.488664570728623	2855	8	354114	794	0.00806237539323495	FALSE
480.2	0.670326293076548	0.50185288048709	1.7841019455581	1.95487507878597	0.181646436809876	953	4	357751	811	0.00266386397242775	FALSE
350	0.383032926729982	0.197123786009101	3.7756710879973	1.46672632377494	0.0520030363958695	8126	27	370969	841	0.0219047952793899	FALSE
560.2	1.22153726747179	0.56909661076141	4.60724645065147	3.39239875148297	0.0318371152252825	554	4	282501	657	0.00196105500511503	TRUE
380	-0.620141763729001	0.978451720552538	0.401701226416844	0.537868181990473	0.526211978083243	792	1	377348	867	0.00209885834826208	FALSE
204.4	0.256126648440786	0.577827841910231	0.196477401250798	1.29191633676876	0.657579337762657	1005	3	372302	850	0.0026994214374352	FALSE
608	-0.947276822898202	0.580367767612424	2.66407994822205	0.387795623032895	0.102637160275682	3299	3	146675	346	0.0224919038690983	FALSE
427.11	0.128717328591015	0.336173442622583	0.146604476801325	1.13736857714356	0.701801592815615	3531	9	338411	763	0.0104340579945687	FALSE
324	-0.040783220282497	0.973445261398235	0.001755253951753	0.960037223989909	0.966581803637556	453	1	377792	866	0.00119907250550568	FALSE
427.3	0.389020904784008	0.228688605077399	2.8937221479377	1.47553539675941	0.0889252628524146	6102	20	338411	763	0.0180313287688639	FALSE
225	0.020373908485907	0.578819804437937	0.00123897327275017	1.02058287328994	0.971921018033435	1268	3	376563	862	0.00336729843346266	FALSE
038.2	0.683872720993452	0.501926171024254	1.85639709099729	1.98153683116661	0.173041204161635	882	4	354429	806	0.00248850968741271	FALSE
716.9	0.0348215323875442	0.107478000336964	0.104967922784988	1.0354349007144	0.745947471377071	43500	102	331731	759	0.1311303435615	FALSE
716	0.0330248050230052	0.107472815644014	0.0944241905551674	1.03357617680418	0.758626304235805	43579	102	331731	759	0.13136848832337	FALSE
202.21	-0.0752851329484421	0.975918389576179	0.00595102041421502	0.927478993802457	0.938509899458397	446	1	372302	850	0.00119795220009562	FALSE
753.1	1.30325660367063	0.979014948404103	1.77207142421964	3.68126559105763	0.183125931611033	108	1	378422	865	0.000285395669384972	FALSE
241	0.0831456416524626	0.502175810902795	0.0274136838123966	1.08670006581685	0.868494742560074	1734	4	354114	794	0.0048967281722835	FALSE
752.1	1.07910037673146	0.704388066069922	2.34692769263543	2.94203164006274	0.125530191436323	306	2	378422	865	0.000808621063257422	FALSE
257	1.23570847451788	0.71003596950215	3.02880525435492	3.4408153873969	0.0817982281908951	261	2	171556	392	0.00152136911562405	FALSE
571	0.350675489726608	0.22695541034108	2.38742503593555	1.42002643796719	0.122314953366978	6289	20	362291	820	0.0173589738635517	FALSE
594.2	0.544354121142106	0.448330512173026	1.47423404666719	1.72349485392506	0.224678842877232	1207	5	368301	842	0.00327721075967755	FALSE
187.8	1.19672625508554	0.996178706999231	1.44316214697545	3.30926547896637	0.229628321026131	122	1	163915	383	0.000744288198151481	FALSE
440.1	1.47513382848763	0.970190937977174	2.31179019565555	4.37162078118112	0.128396099670458	89	1	365721	841	0.000243354907156001	FALSE
290.11	0.499410362580958	0.380731654886161	1.72058893656237	1.64774940949638	0.189617253549921	1820	7	362734	830	0.00501745080417055	FALSE
701	0.315828940297117	0.2387462674859	1.74997024746273	1.37139564502883	0.185880472717694	5786	18	373012	846	0.0155115653115717	FALSE
345	0.249124319880178	0.226915447425193	1.20532490030336	1.28290151331874	0.272259993868275	6948	20	357585	808	0.019430345232602	FALSE
540.1	-0.040547525425217	0.410263308878571	0.0097679483112346	0.960263526494522	0.921270921084114	2713	6	376149	862	0.00721256736027478	FALSE
480.5	0.959979977566584	0.500507619360074	3.6787727724459	2.61164418142788	0.0551093990018827	664	4	357751	811	0.00185603953587831	FALSE
426.21	0.299824293834119	0.3584530050715	0.699631230831854	1.34962164989609	0.402907633772531	2693	8	338411	763	0.00795777915020493	FALSE
427.5	0.64179130306756	0.381259105845587	2.83365651328121	1.89988109582155	0.0923079718618832	1636	7	338411	763	0.00483435822121621	FALSE
946	0.227415867871009	0.70715443767853	0.103422012894725	1.25535181988994	0.747761100266736	733	2	371884	845	0.00197104473437954	FALSE
512.1	0.629301691973934	0.704122523501351	0.798769227350602	1.87629988641395	0.371461605233203	472	2	363489	832	0.0012985262277538	FALSE
369.2	0.681376130977574	0.976484460201577	0.486903794628819	1.97659591638346	0.485311711200514	226	1	366260	830	0.000617047998689456	FALSE
426.91	0.560535144647918	0.259344159119506	4.6714612633441	1.75160961403823	0.030667823320369	4633	18	338411	763	0.0136904533245078	TRUE
759.1	1.26535117965224	0.977176708306403	1.67677942066128	3.54433721668923	0.195352941952401	112	1	378148	867	0.000296180331510414	FALSE
557	0.970800968750468	0.579196913362831	2.80936342811436	2.64005821684541	0.0937155561380758	485	3	282501	657	0.00171680808209528	FALSE
371	0.051261913769212	0.335724525342555	0.0233143598029183	1.05259854723582	0.878642427674389	3858	9	366260	830	0.0105335007917873	FALSE
