phecode	beta	SE	chisq	OR	p	n.cases	n.var.cases	n.controls	n.var.controls	case.ctrl_ratio	firth_correct
638	-0.532282187522208	0.42336052263258	1.58074984823671	0.587263194434777	0.208652716974408	76	1	379101	17027	0.000200474279941229	FALSE
661	-0.0105292219680254	0.107305149631642	0.00962834034513763	0.989526016247798	0.921833745396974	2169	92	377008	16936	0.00575319356618427	FALSE
418	0.004358053804342	0.0272001642821473	0.0256709606682331	1.00436756393102	0.872706515932811	35798	1576	339887	15284	0.105323239782634	FALSE
627.3	0.0465061693708684	0.124169847992353	0.140277765371992	1.04760454210954	0.708005031960165	1461	69	174909	7744	0.00835291494434249	FALSE
187	-0.268880633578619	0.233888137392388	1.32160798819184	0.764234474138152	0.250303670882815	522	19	163915	7477	0.00318457737241863	FALSE
528.12	-0.0609171132674106	0.380028999852602	0.0256947947148775	0.940901224772215	0.872647941370127	95	4	371764	16706	0.000255538459883152	FALSE
550	-0.0417377766539953	0.0218785026766129	3.63934668639741	0.959121251584073	0.0564290731478664	60692	2694	318485	14334	0.190564704774165	FALSE
334	0.0526707290499299	0.086880619437473	0.36753004026822	1.05408250922234	0.54435369564637	2982	141	357585	16039	0.00833927597634129	FALSE
327.6	-0.0199826342724308	0.423594616583812	0.00222538222889919	0.980215695317679	0.962374583627109	47	2	370898	16676	0.000126719475435295	FALSE
348.4	-0.201470816370133	0.32091652348085	0.394130582187023	0.817527435630052	0.53013614425147	219	8	357585	16039	0.000612441797055246	FALSE
577.2	0.000209158754054678	0.177243321425491	1.39255492164586e-06	1.00020918062927	0.999058444061293	731	33	376086	16872	0.00194370436549087	FALSE
471	-0.0608112645519336	0.0837927896668207	0.526689633244298	0.941000823229339	0.468001941058849	3441	151	355718	16007	0.00967339296858748	FALSE
345.1	-0.286160255165009	0.15197538916906	3.54545600331583	0.751142231878745	0.059708753004862	1296	45	357585	16039	0.00362431310038173	FALSE
282.9	0.207720415603587	0.324346581115257	0.410147167638277	1.23086898967391	0.521894818333241	153	8	346982	15583	0.000440945063432685	FALSE
313	-0.121052057976504	0.315187666853744	0.14750472204312	0.885987835658395	0.700931431733077	198	8	377856	16974	0.000524009146341463	FALSE
723.1	0.19385939829019	0.321397775009202	0.363821189203165	1.21392559094305	0.546391665744141	150	8	365367	16405	0.000410546108433438	FALSE
710.1	-0.369959432485825	0.34959225008772	1.11991385167931	0.69076235258049	0.289937004658102	202	6	331731	14843	0.000608927112630414	FALSE
286.4	0.316038867424679	0.425319765594086	0.552140827531516	1.37168356839775	0.457444270215223	18	2	374616	16761	4.80492023832404e-05	FALSE
184.1	-0.0131013528029518	0.129638774141139	0.0102132144774943	0.98698409634614	0.919502473884934	1419	63	182009	7986	0.00779631776450615	FALSE
771.1	-0.03015921016592	0.142109039823525	0.0450398066194472	0.97029104105281	0.831930849458653	1183	52	376966	16933	0.0031382140564401	FALSE
915	0.027436601768306	0.0543847184603773	0.254511183320396	1.02781645129612	0.613916375145307	7761	365	371416	16663	0.0208957072393219	FALSE
264	0.0719324909845874	0.424402271291017	0.0287272994182655	1.07458279758843	0.865410218106581	39	2	371467	16676	0.000104989137662296	FALSE
695	-0.118557409893293	0.0830606381145923	2.03735579540321	0.888200822678615	0.153476232392016	3860	153	369135	16611	0.0104568789196364	FALSE
709.7	0.102625707690641	0.0891623656614332	1.3247964770484	1.10807658690382	0.249733043856443	2745	134	365610	16441	0.00750800032821859	FALSE
727.6	-0.358212629243669	0.405157075334925	0.781690676178697	0.698924447429162	0.376624569184356	106	3	352392	15847	0.000300801380281051	FALSE
444.1	0.134765150591473	0.155308510233943	0.752947497474154	1.14426802212503	0.385544637159095	803	43	365721	16403	0.00219566281400302	FALSE
599.7	0.358418430918519	0.389856225902054	0.845223805107099	1.43106429676698	0.357907021057789	55	4	345592	15501	0.000159147202481539	FALSE
184.2	-0.327289195907643	0.280120561946759	1.3651279556696	0.720875238709806	0.242650735353744	396	13	182009	7986	0.00217571658544358	FALSE
733	0.0918556463171304	0.0943274534944438	0.948277605161273	1.09620656920345	0.33015810591328	2431	120	362803	16286	0.0067006061140619	FALSE
1014	0.0196413141964604	0.398622135445358	0.00242782994225362	1.01983547390875	0.960701724824277	61	3	379116	17025	0.000160900621445679	FALSE
454.1	-0.0322686365477837	0.0447044820809523	0.521025639603306	0.96824644075778	0.47040450098398	12236	546	337204	15152	0.0362866395416424	FALSE
569	-0.00914135705666008	0.0593267505844305	0.0237421596573104	0.990900298122837	0.877542785831916	6844	305	347971	15584	0.019668305692141	FALSE
522.5	0.110191797859912	0.118150710276705	0.869812940124234	1.1164921907371	0.351007099919087	1553	76	366238	16479	0.00424041197254245	FALSE
513.31	0.228837707709739	0.447942264972338	0.260982324060054	1.25713799864822	0.609446086899963	6	1	378339	16993	1.58587933044175e-05	FALSE
359.1	-0.0505909671860519	0.331610985291068	0.0232749172950316	0.950667445196447	0.878744330979919	159	7	375448	16871	0.00042349406575611	FALSE
451	0.114350854654411	0.0620029489600857	3.40137204665053	1.1211454149734	0.0651422132349978	5463	281	337204	15152	0.0162008754344551	FALSE
755.3	-0.114897533800878	0.445879575068103	0.0664027792298683	0.891457483487153	0.796648196422236	31	1	377963	16970	8.20186102872503e-05	FALSE
130	0.0127365040090652	0.360033564577045	0.00125145285288093	1.01281795872501	0.971780018013021	106	5	378066	16985	0.000280374326175853	FALSE
149.2	0.547100519005057	0.365321427380717	2.24276599071097	1.72823476236659	0.134240658603149	54	5	376413	16902	0.000143459444811949	FALSE
350.2	-0.013925272649762	0.0621525990302388	0.0501982787607017	0.986171235472761	0.822718612508063	6226	279	370969	16648	0.0167830735182724	FALSE
720	0.0473992540371749	0.123674650245621	0.146886415248066	1.04854055957166	0.701528747351097	1470	69	365367	16405	0.00402335186264769	FALSE
364.41	0.115055656619819	0.349637521893881	0.108287888034536	1.12193587899296	0.742101833800537	127	6	357839	16061	0.000354908212911393	FALSE
649	-0.703647103611292	0.4752259165872	2.19234841461993	0.494777504356411	0.138697704136712	124	2	204260	9031	0.000607069421325761	FALSE
636.8	0.562632350669861	0.471919462995508	1.42139119870908	1.75528695499185	0.233174554285352	48	3	196783	8725	0.000243923509652765	FALSE
480.11	0.0554017026119629	0.043306159429127	1.63661633926151	1.0569651150558	0.200790352724261	12271	590	357751	16028	0.0343003932903053	FALSE
395.1	0.00387287652346909	0.0616104573674076	0.00395146769842567	1.00388038580079	0.949877429184196	6213	284	365506	16412	0.0169983529682139	FALSE
353.2	0.215465858372429	0.367114551770213	0.34447184303963	1.24043963157222	0.557259292641346	91	5	360809	16223	0.000252211003605786	FALSE
737.3	-0.1519958824783	0.160927211369386	0.892081791698297	0.858991817651291	0.344913784983892	1019	40	365636	16434	0.00278692470106882	FALSE
244.4	0.0150404174251818	0.0349538672543804	0.18515238647595	1.0151540937012	0.666982247468169	20568	934	354114	15904	0.0580829902234874	FALSE
427.41	0.00191000219695917	0.19360222589585	9.73300712239635e-05	1.00191182741303	0.992128517447809	595	27	338411	15099	0.00175821707923206	FALSE
132.1	0.181678046445354	0.447508060230571	0.164817445507314	1.19922803599173	0.684759390528422	9	1	378066	16985	2.38053673168177e-05	FALSE
696.41	-0.0973297843765486	0.0918576364715721	1.12269293357547	0.90725675768805	0.289339333793196	3001	125	364513	16409	0.00823290253022526	FALSE
443.1	0.0145386083369549	0.104987493652244	0.0191765526884078	1.01464480794383	0.889861525019969	2108	96	365721	16403	0.00576395667735788	FALSE
854	0.183418653011688	0.0744118715453265	6.07578705339984	1.20131723789752	0.0137047224565664	3801	205	354810	15893	0.0107127758518644	TRUE
628	-0.0176132771376194	0.0704732380759797	0.0624643008977292	0.982540929936858	0.802642571832346	5085	218	174909	7744	0.0290722604325678	FALSE
198.6	0.105202608025283	0.071133647433826	2.18727231776723	1.11093567203801	0.139155556783148	4192	213	327660	14603	0.012793749618507	FALSE
781	-0.0766803644924819	0.087170030229327	0.77380929824987	0.926185848182427	0.379041189078006	3380	139	375791	16889	0.00899436122738437	FALSE
756	0.111500455090014	0.203215821299186	0.301049733001758	1.11795425277523	0.583225079698869	505	25	377963	16970	0.00133610961919553	FALSE
626.8	0.0859944138018467	0.154162679516753	0.31115872288822	1.08980024044803	0.576970015642554	1003	44	174909	7744	0.0057344104648703	FALSE
596.5	-0.0849245459133953	0.120083241929723	0.500151595332548	0.91858159252167	0.47943352009051	1709	73	360034	16147	0.00474677391579684	FALSE
749.1	0.053685890537119	0.424516910555299	0.0159930145795967	1.05515311651773	0.899365046864033	38	2	368943	16554	0.000102996939906706	FALSE
250.4	0.012340059725918	0.115686541004067	0.0113780765527348	1.0124165124162	0.915052316742745	1837	79	347296	15677	0.00528943610061734	FALSE
647.3	0.0231154870685519	0.507948863304273	0.00207093330374706	1.02338472042427	0.963702790411863	48	2	204204	9028	0.00023505905858847	FALSE
301.1	-0.311881136317001	0.483201184872903	0.416602848054109	0.732068539419778	0.518637042862943	43	1	313303	13980	0.000137247329262726	FALSE
577.3	0.32933289023749	0.164586251134622	4.00389891722626	1.39004050949218	0.0453951388709082	697	43	376086	16872	0.00185329951128199	TRUE
253.3	0.580710854256583	0.310776765451522	3.49158647689047	1.78730849513285	0.0616814470197894	116	9	372564	16720	0.00031135590126797	FALSE
217.1	-0.0597931629906492	0.172278235556643	0.120459824231903	0.941959345490349	0.728536307257853	789	35	368923	16535	0.00213865766027057	FALSE
803	0.159623476140007	0.115335431608415	1.91543773143099	1.17306909932293	0.166360475642217	1480	80	375299	16836	0.00394352236483444	FALSE
579	0.315632604247198	0.0919343483402489	11.7871310831796	1.37112641705545	0.000596415775885428	2313	139	346910	15562	0.0066674353578738	TRUE
327.5	0.316085719333096	0.402785997957524	0.615830253511002	1.37174783589619	0.432601023613055	37	3	370898	16676	9.9757884917147e-05	FALSE
687.3	0.432877077115578	0.287735627925527	2.2632988164808	1.54168670047659	0.132471608935944	156	11	370968	16674	0.000420521446593776	FALSE
465	-0.029013399412767	0.0875489444044436	0.109823531638887	0.971403448143634	0.74034513199521	3214	138	375745	16881	0.0085536733689071	FALSE
858	-0.0202638399930021	0.0687290714592613	0.0869285713046227	0.97994009180922	0.768118769782727	4992	226	354810	15893	0.0140695019869789	FALSE
443.7	0.203253236796565	0.165267217423715	1.51252134023998	1.22538274095949	0.218754754987892	695	38	365721	16403	0.00190035573565642	FALSE
704.1	-0.0716437457341885	0.292792321366711	0.0598738523344128	0.930862460469463	0.806695433192105	276	10	371828	16663	0.000742278687995525	FALSE
557.1	0.0973832691927969	0.0939159589682069	1.07520160734546	1.10228276369636	0.299773474609471	2361	121	282501	12656	0.00835749253984942	FALSE
371.33	-0.0312090847574805	0.451509410612047	0.00477780534786815	0.969272891700478	0.944892771628684	23	1	366260	16458	6.27969202206083e-05	FALSE
079.1	-0.188479079307111	0.421439610639323	0.200011791213486	0.828217830148268	0.654711328659801	68	2	371015	16652	0.000183280999420509	FALSE
199	0.0687527971399643	0.115112022227346	0.356729788651239	1.07117137978774	0.550328060502795	1683	80	327660	14603	0.00513642190075078	FALSE
440.2	0.205372114222465	0.189076575138487	1.17979756073683	1.22798192949591	0.277397212013812	483	28	365721	16403	0.00132067887816122	FALSE
706.8	0.122717789035718	0.452328469336157	0.0736049799098564	1.13056531799386	0.786158478220703	13	1	368770	16540	3.5252325297611e-05	FALSE
345	0.00484212777312675	0.0580066774160242	0.00696813426912766	1.00485386981832	0.93347357581562	6948	319	357585	16039	0.019430345232602	FALSE
440.1	0.202122351296914	0.361089319202561	0.313328138547321	1.22399775666315	0.57564505128763	89	5	365721	16403	0.000243354907156001	FALSE
654	0.142438764243135	0.458885019126787	0.0963493157467446	1.15308246891769	0.756255378580072	72	3	201649	8916	0.000357056072680747	FALSE
764	-0.0912355477374867	0.0992055583783478	0.845777554746602	0.91280267696955	0.357749597975183	2654	107	375319	16859	0.00707131799882234	FALSE
654.1	0.0709032436509241	0.140247108747539	0.255590303329233	1.07347735509367	0.613165991709788	1279	54	201649	8916	0.00634270440220383	FALSE
292.1	0.0489192067852515	0.0857262431160214	0.325635114033448	1.05013550348928	0.568240665788735	3082	145	362734	16237	0.00849658427387562	FALSE
250.14	-0.0801826567087973	0.297455729052004	0.0726634823959939	0.922947748391214	0.787497508382754	237	10	347296	15677	0.000682415000460702	FALSE
433	-0.0371881241005363	0.0407087056872207	0.834514629107221	0.963494861694389	0.360970317085053	15261	674	362169	16268	0.0421377865029862	FALSE
259.2	0.0572119799030905	0.401010388296889	0.0203546063742164	1.05888024793888	0.886551149973737	57	3	372564	16720	0.000152993848036847	FALSE
331	0.0320947072479584	0.0953371066450106	0.113329481597538	1.03261529682722	0.736384948386849	2495	117	357585	16039	0.00697736202581204	FALSE
274.21	0.089379130022333	0.23587575576732	0.143583864111111	1.09349515458938	0.704743844500429	368	18	373865	16771	0.000984312519224854	FALSE
367.4	-0.122916215626234	0.39652380748896	0.0960903611959753	0.884337753141806	0.756572779027099	82	3	379095	17025	0.000216304620213931	FALSE
960.2	0.000410926419099919	0.0323456686052132	0.000161397150108316	1.00041101086093	0.989863773414484	24167	1085	337805	15171	0.0715412738118145	FALSE
426	0.0415050786406038	0.0412456542161886	1.01261904001271	1.04237845570358	0.314276214667838	14165	669	338411	15099	0.0418573864324741	FALSE
989	-0.0742047580207927	0.398519831572789	0.0346707814348758	0.928481560329635	0.852287204992387	73	3	378651	17002	0.000192789666473877	FALSE
008.52	0.096179432006459	0.14245493864037	0.455836813497001	1.10095659312245	0.499576098548525	1041	52	373699	16789	0.00278566439835268	FALSE
626.13	0.0929780116795086	0.118551952673528	0.615096259397854	1.09743760419302	0.432875405512984	1598	76	174909	7744	0.00913617938470862	FALSE
250.6	0.0246257994063023	0.165539854549165	0.0221297005113679	1.02493151877408	0.881742582652866	863	38	347296	15677	0.00248491200589699	FALSE
070	0.233303410529779	0.151878833118809	2.35965044205298	1.26276455727269	0.124510086324277	973	46	371015	16652	0.00262253547700228	FALSE
990	0.0831163230371939	0.0527172994731065	2.48580086714886	1.08666820574276	0.11487785934006	7936	391	364237	16302	0.0217880116517542	FALSE
182	0.0252062533128488	0.114668242042145	0.0483203736499958	1.02552661697492	0.826012155526141	1764	81	173799	7682	0.0101496556366838	FALSE
751.22	-0.214116790648735	0.228879875198504	0.8751575311366	0.807254099786964	0.349531431875047	511	19	376291	16888	0.00135799155440869	FALSE
418.1	0.0779414917122405	0.0614321156310072	1.60970570338367	1.08105940588489	0.204533176066488	6042	285	339887	15284	0.0177764963061253	FALSE
790.1	0.0844415440547838	0.361536637631827	0.0545516263354385	1.088109235919	0.815324335838453	108	5	367047	16471	0.000294240247161808	FALSE
756.5	0.21123522192972	0.262116443547494	0.649447631388774	1.23520286769472	0.420310234969051	256	14	377963	16970	0.000677314975275358	FALSE
949	0.236429064365556	0.18141594571203	1.69844236055327	1.26671769700958	0.192491808419192	592	32	371884	16700	0.00159189424659302	FALSE
451.2	0.127825602446713	0.0654269855190806	3.81699748962274	1.13635480791705	0.0507350770696579	5009	261	337204	15152	0.0148545094364242	TRUE
647	0.513200924226508	0.371396350184307	1.90941177595708	1.67063020620263	0.167028614173348	89	6	204204	9028	0.000435838671132789	FALSE
440.9	-0.404566793657038	0.323876466713707	1.56034876510079	0.667265812037599	0.211614161663098	225	7	365721	16403	0.000615223079888768	FALSE
601.1	-0.157539711348207	0.113802674055837	1.91635143806196	0.854242889798053	0.1662594341328	2090	82	146181	6667	0.0142973437040381	FALSE
722	-0.0147755675359537	0.0497956733260362	0.0880450864593655	0.985333055514896	0.766677291273099	9913	435	365367	16405	0.0271316238193378	FALSE
352.1	0.00869370749155116	0.172625602086063	0.00253629423765136	1.00873160751749	0.959834208739234	759	35	360809	16223	0.00210360606304166	FALSE
513.8	0.162014122465193	0.243187010689305	0.443838525921654	1.17587684748359	0.505275557317766	311	16	378339	16993	0.000822014119612305	FALSE
379.2	-0.00972233936259738	0.0951456409449783	0.0104415208576333	0.990324769784758	0.918610817724977	2660	117	365185	16394	0.00728397935293071	FALSE
225	0.0961556696598555	0.130627295144379	0.541853552787776	1.10093043212112	0.461665567670053	1268	62	376563	16906	0.00336729843346266	FALSE
963	-0.197757489500539	0.288443804153397	0.470049344103706	0.820568825566134	0.492964468828357	290	11	337805	15171	0.000858483444590814	FALSE
578	0.00656304727163957	0.0303204761891027	0.0468531753445198	1.00658463125946	0.828632363313972	27558	1238	346910	15562	0.079438471073189	FALSE
627	-0.000995846726509736	0.0472294916292299	0.000444588739141911	0.999004648964284	0.983177632696708	11425	504	174909	7744	0.0653196805195845	FALSE
428	0.0509822928891912	0.0456231353708137	1.24872978593054	1.0523042598501	0.263795220011445	11215	536	366786	16442	0.0305764124039631	FALSE
277.1	-0.253843479025801	0.445623778484414	0.324485510846555	0.775813223585271	0.568924404726889	41	1	375776	16882	0.00010910755343609	FALSE
427.3	0.0531091516362076	0.0610874698647762	0.755847972670474	1.05454474412189	0.384631020549158	6102	291	338411	15099	0.0180313287688639	FALSE
594.3	0.126895189680308	0.0844804081568096	2.25620372354115	1.13529802059704	0.133079939510467	2955	150	368301	16530	0.00802332874469524	FALSE
290	0.088035176742481	0.0525703529458756	2.80434018561392	1.09202653528878	0.094009513662822	8069	403	362734	16237	0.0222449508455232	FALSE
383	-0.370780218606875	0.294504760190594	1.58507010334182	0.690195617044696	0.208031894960735	328	10	374786	16838	0.000875166094784757	FALSE
526.5	0.418753629867176	0.271895188234203	2.37199694587774	1.52006580983828	0.12352894305909	193	13	366238	16479	0.000526979723567735	FALSE
362.8	-0.305972594378138	0.361598991795568	0.715996065960827	0.736406800865878	0.397460420956737	154	5	356093	15995	0.000432471292611762	FALSE
384	-0.0700583292627237	0.135719020228224	0.266463740939302	0.932339435647977	0.60571385028385	1380	57	374786	16838	0.00368210125244806	FALSE
619.1	0.121643148949773	0.155308055812923	0.613461542050257	1.129351019767	0.433487447359994	903	44	194742	8616	0.00463690421172628	FALSE
222	-0.119084353030052	0.350037029414967	0.115739452595379	0.887732914642332	0.733702141374275	196	8	163915	7477	0.0011957416953909	FALSE
727.1	0.0984184064829591	0.0832381118324316	1.39800336795665	1.10342436844626	0.237058158128347	3140	154	352392	15847	0.00891053145360848	FALSE
